county,year,month,rainfall_mm,temp_c
Nakuru,2016,2,22.62,16.26
Nakuru,2016,3,60.449999999999996,17.53
Nakuru,2016,4,272.7,16.75
Nakuru,2016,5,168.64000000000001,15.48
Nakuru,2016,6,68.1,14.69
Nakuru,2016,7,64.78999999999999,13.99
Nakuru,2016,8,56.730000000000004,14.07
Nakuru,2016,9,74.10000000000001,14.97
Nakuru,2016,10,61.69,15.78
Nakuru,2016,11,183.6,15.47
Nakuru,2016,12,17.360000000000003,15.55
Nakuru,2017,1,15.5,16.21
Nakuru,2017,2,43.120000000000005,17.26
Nakuru,2017,3,51.769999999999996,18.33
Nakuru,2017,4,151.79999999999998,16.93
Nakuru,2017,5,178.25,15.54
Nakuru,2017,6,33.0,15.68
Nakuru,2017,7,128.03,14.82
Nakuru,2017,8,102.3,14.68
Nakuru,2017,9,133.8,15.06
Nakuru,2017,10,168.02,15.86
Nakuru,2017,11,209.70000000000002,15.31
Nakuru,2017,12,22.63,15.32
Nakuru,2018,1,14.569999999999999,15.65
Nakuru,2018,2,28.0,16.98
Nakuru,2018,3,305.04,15.6
Nakuru,2018,4,483.6,15.19
Nakuru,2018,5,345.96,14.74
Nakuru,2018,6,184.2,13.99
Nakuru,2018,7,74.39999999999999,13.08
Nakuru,2018,8,110.67,13.45
Nakuru,2018,9,33.0,14.14
Nakuru,2018,10,89.59,14.88
Nakuru,2018,11,89.10000000000001,15.55
Nakuru,2018,12,170.5,15.14
Nakuru,2019,1,28.830000000000002,15.08
Nakuru,2019,2,11.200000000000001,15.98
Nakuru,2019,3,31.0,17.26
Nakuru,2019,4,127.8,17.67
Nakuru,2019,5,141.67000000000002,15.7
Nakuru,2019,6,160.5,15.3
Nakuru,2019,7,67.89,14.47
Nakuru,2019,8,122.76,14.68
Nakuru,2019,9,113.7,15.22
Nakuru,2019,10,292.02,15.37
Nakuru,2019,11,283.5,15.79
Nakuru,2019,12,365.8,15.49
Nakuru,2020,1,197.47,15.27
Nakuru,2020,2,108.46000000000001,15.66
Nakuru,2020,3,225.36999999999998,16.34
Nakuru,2020,4,394.8,15.77
Nakuru,2020,5,183.82999999999998,14.95
Nakuru,2020,6,220.8,14.01
Nakuru,2020,7,81.53,13.37
Nakuru,2020,8,114.7,14.09
Nakuru,2020,9,213.0,14.31
Nakuru,2020,10,163.68,14.81
Nakuru,2020,11,186.0,15.38
Nakuru,2020,12,74.39999999999999,14.69
Nakuru,2021,1,57.35,14.55
Nakuru,2021,2,84.0,15.18
Nakuru,2021,3,71.3,15.4
Nakuru,2021,4,211.5,15.83
Nakuru,2021,5,266.90999999999997,15.35
Nakuru,2021,6,20.400000000000002,14.24
Nakuru,2021,7,101.37,13.5
Nakuru,2021,8,91.14,14.04
Nakuru,2021,9,86.39999999999999,14.84
Nakuru,2021,10,109.42999999999999,15.59
Nakuru,2021,11,102.9,15.79
Nakuru,2021,12,126.78999999999999,15.27
Nakuru,2022,1,64.48,15.1
Nakuru,2022,2,56.0,16.45
Nakuru,2022,3,79.05,16.9
Nakuru,2022,4,148.20000000000002,16.41
Nakuru,2022,5,98.27,15.89
Nakuru,2022,6,52.8,14.47
Nakuru,2022,7,111.60000000000001,13.93
Nakuru,2022,8,179.49,14.05
Nakuru,2022,9,141.0,14.75
Nakuru,2022,10,43.71,15.43
Nakuru,2022,11,170.39999999999998,15.34
Nakuru,2022,12,84.63,15.39
Nakuru,2023,1,21.080000000000002,15.04
Nakuru,2023,2,23.8,16.73
Nakuru,2023,3,186.61999999999998,16.85
Nakuru,2023,4,274.20000000000005,16.08
Nakuru,2023,5,146.01,15.63
Nakuru,2023,6,79.5,15.29
Nakuru,2023,7,39.68,14.62
Nakuru,2023,8,62.0,15.07
Nakuru,2023,9,133.5,16.16
Nakuru,2023,10,168.02,16.25
Nakuru,2023,11,458.4,15.39
